,genre,total popularity
0,operetta,156
1,late romantic era,156
2,classical,156
3,disco house,316
4,deep house,316
5,bergamo indie,476
6,rap rock,847
7,rap metal,847
8,nu metal,847
9,modern rock,847
10,alternative metal,847
11,trance,376
12,dutch edm,376
13,brostep,376
14,big room,376
15,british invasion,144
16,uk dance,360
17,house,879
18,drill italiana,276
19,italian indie pop,888
20,nu jazz,307
21,italian lounge,307
22,electro swing,307
23,pop house,426
24,canadian pop,380
25,canadian contemporary r&b,380
26,milan indie,692
27,neo-psychedelic,115
28,australian psych,115
29,urbano espanol,308
30,trap latino,308
31,flamenco urbano,308
32,space ambient,245
33,post-rock,245
34,compositional ambient,245
35,ambient worship,245
36,lo-fi beats,192
37,chillhop,192
38,trap italiana,841
39,trap metal italiana,244
40,electronica,76
41,ambient house,76
42,viral pop,132
43,christian music,132
44,christian alternative rock,132
45,ccm,132
46,nyc rap,332
47,brooklyn drill,584
48,soft rock,96
49,new wave,96
50,new romantic,96
51,mellow gold,96
52,classic uk pop,96
53,melodic rap,597
54,glam rock,415
55,uk pop,356
56,rome indie,456
57,pop rap,632
58,singer-songwriter,88
59,pop rock,88
60,piano rock,88
61,permanent wave,445
62,new wave pop,160
63,melancholia,88
64,lilith,88
65,folk,88
66,ectofolk,88
67,art pop,88
68,symphonic rock,1033
69,rock,1498
70,psychedelic rock,1033
71,progressive rock,1033
72,classic rock,1498
73,art rock,1462
74,album rock,1105
75,post-teen pop,618
76,pop,2262
77,children's music,120
78,rap,605
79,italian adult pop,1234
80,slap house,1145
81,operatic pop,268
82,italian progressive rock,268
83,rap napoletano,481
84,pop virale italiano,1060
85,italian pop,3604
86,italian hip hop,2476
87,southern china indie,96
88,sinogaze,96
89,chinese indie,96
90,tropical house,1665
91,pop edm,606
92,pop dance,1428
93,german dance,348
94,edm,1428
95,dance pop,1968
96,latin trap,0
